START,52.501046,13.411600,0.000000,-1.000000,5.000000,1469093097678.347168,-1.000000,"Ritterstraße",Folgen,TableViewCellArrowStart,2,1469093098576.766113,GUINavigator
NEXT_DIRECTION,52.501222,13.411007,0.000000,-1.000000,5.000000,1469093119950.360107,-1.000000,"Nebenstraße",In 110 m,TableViewCellArrowTurnRight,8,1469093120019.350098,GUINavigator
NEXT_DIRECTION,52.501245,13.410927,0.000000,-1.000000,5.000000,1469093122944.589111,-1.000000,"Nebenstraße",In 100 m,TableViewCellArrowTurnRight,8,1469093123002.501953,GUINavigator
NEXT_DIRECTION,52.501270,13.410842,0.000000,-1.000000,5.000000,1469093126957.781982,-1.000000,"Nebenstraße",In 90 m,TableViewCellArrowTurnRight,8,1469093127023.178955,GUINavigator
NEXT_DIRECTION,52.501294,13.410763,0.000000,-1.000000,5.000000,1469093129967.709961,-1.000000,"Nebenstraße",In 90 m,TableViewCellArrowTurnRight,8,1469093130029.875000,GUINavigator
NEXT_DIRECTION,52.501317,13.410683,0.000000,-1.000000,5.000000,1469093132953.131836,-1.000000,"Nebenstraße",In 80 m,TableViewCellArrowTurnRight,8,1469093133012.000000,GUINavigator
NEXT_DIRECTION,52.501341,13.410603,0.000000,-1.000000,5.000000,1469093135946.315918,-1.000000,"Nebenstraße",In 80 m,TableViewCellArrowTurnRight,8,1469093136005.519775,GUINavigator
NEXT_DIRECTION,52.501364,13.410524,0.000000,-1.000000,5.000000,1469093138947.524170,-1.000000,"Nebenstraße",In 70 m,TableViewCellArrowTurnRight,8,1469093139005.498779,GUINavigator
NEXT_DIRECTION,52.501388,13.410444,0.000000,-1.000000,5.000000,1469093142153.708008,-1.000000,"Nebenstraße",In 60 m,TableViewCellArrowTurnRight,8,1469093142224.835938,GUINavigator
NEXT_DIRECTION,52.501411,13.410364,0.000000,-1.000000,5.000000,1469093144956.276855,-1.000000,"Nebenstraße",In 60 m,TableViewCellArrowTurnRight,8,1469093145019.046143,GUINavigator
NEXT_DIRECTION,52.501435,13.410285,0.000000,-1.000000,5.000000,1469093147953.583008,-1.000000,"Nebenstraße",In 50 m,TableViewCellArrowTurnRight,8,1469093148011.097900,GUINavigator
NEXT_DIRECTION,52.501458,13.410205,0.000000,-1.000000,5.000000,1469093150949.880127,-1.000000,"Nebenstraße",In 50 m,TableViewCellArrowTurnRight,8,1469093151022.696045,GUINavigator
NEXT_DIRECTION,52.501482,13.410125,0.000000,-1.000000,5.000000,1469093153949.678955,-1.000000,"Nebenstraße",In 40 m,TableViewCellArrowTurnRight,8,1469093154020.306152,GUINavigator
NEXT_DIRECTION,52.501505,13.410046,0.000000,-1.000000,5.000000,1469093156944.295898,-1.000000,"Nebenstraße",In 30 m,TableViewCellArrowTurnRight,8,1469093157001.451904,GUINavigator
DIRECTION_SINGLE_PREPARE,52.501505,13.410046,0.000000,-1.000000,5.000000,1469093156944.295898,-1.000000,"Nebenstraße",In 30 m,TableViewCellArrowTurnRight,8,1469093157064.321045,GUINavigator
NEXT_DIRECTION,52.501529,13.409966,0.000000,-1.000000,5.000000,1469093159973.485107,-1.000000,"Nebenstraße",In 30 m,TableViewCellArrowTurnRight,8,1469093160037.455078,GUINavigator
NEXT_DIRECTION,52.501552,13.409886,0.000000,-1.000000,5.000000,1469093162964.980225,-1.000000,"Nebenstraße",In 20 m,TableViewCellArrowTurnRight,8,1469093163039.490967,GUINavigator
NEXT_DIRECTION,52.501576,13.409807,0.000000,-1.000000,5.000000,1469093165950.047852,-1.000000,"Nebenstraße",In 20 m,TableViewCellArrowTurnRight,8,1469093166020.148926,GUINavigator
DIRECTION_SINGLE_PREPARE,52.501576,13.409807,0.000000,-1.000000,5.000000,1469093165950.047852,-1.000000,"Nebenstraße",In 20 m,TableViewCellArrowTurnRight,8,1469093166096.965088,GUINavigator
